episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
147,-2276.576640648594,0.0467214529966786,-3.6211056732460807,8746,8746,274,15.584858894348145,0.6223893065998329,5.274200645274043,0.4052846715328467,,,,,
148,-2370.254922907056,0.050367328399464006,-3.631815001182363,8885,8885,278,16.710863828659058,0.6292861157953906,5.243614381302325,0.4257202591895138,,,,,
149,-2281.6912872621774,0.06514769416603752,-3.6458090034145787,8674,8674,272,15.53127121925354,0.608551724137931,5.365926962394839,0.4072993561125109,-2424.087339270477,113.14354259336453,0.6010491659727488,5.487840635163473,0.42352236403950017
150,-2223.270424811161,0.05498108275065695,-3.6886658115546274,8261,8261,259,14.41230297088623,0.6041608096710711,5.43311864533788,0.41179603248568764,,,,,
151,-2473.830230576823,0.05988917266623232,-3.692545108695497,9090,9090,285,15.860898971557617,0.6326245103525462,5.486653736881003,0.44009424580407275,,,,,
152,-2350.6735358843925,0.04758872714134331,-3.7198979434846478,8543,8543,267,20.40731978416443,0.6013986013986014,5.441835493756985,0.4266591475721239,,,,,
153,-2359.971847860318,0.05127283300963237,-3.69847514019406,8869,8869,278,26.353451013565063,0.6231679819616686,5.28937672166891,0.40723928200563714,,,,,
154,-2199.615016199565,0.04371803490761316,-3.693491227542878,8466,8466,265,24.382986068725586,0.6644547028274668,5.295317676986671,0.4235566021280307,,,,,
155,-2426.0693513841156,0.04740112676121642,-3.7051847779698686,8917,8917,279,29.614074230194092,0.6149674620390455,5.331118184084785,0.4503450748409071,,,,,
156,-2264.557316323994,0.04817879091969278,-3.7128690416183083,8491,8491,266,30.27263593673706,0.6052704576976422,5.388695103371895,0.4212627711739612,,,,,
157,-2450.7688842058724,0.04466027613427636,-3.715246290774676,8983,8983,281,21.41524577140808,0.6093406593406593,5.539679654630014,0.4381465678568755,,,,,
158,-2310.6674937389703,0.053557662088079036,-3.701489440803807,8621,8621,270,15.49655795097351,0.6149295774647887,5.435655038303505,0.42002114700144455,,,,,
