episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
198,-2428.3806834904785,0.35597107386469784,7.699584996343924,0.050000000000000044,8296,2119,142244,100000,20433.6
199,-2673.0705036292024,0.3555846785042091,7.819617052703567,0.050000000000000044,9430,2332,142962,100000,20536.3
200,-2487.810421114258,0.36179643070847917,7.4929573205343525,0.050000000000000044,8496,2126,143681,100000,20629.0,-2587.337372804519,23.552905790017306,0.6064051146243512,5.58190452082643,0.4247651797011415
201,-2602.3500737630216,0.362895489313252,8.136300323922594,0.050000000000000044,9238,2179,144399,100000,20782.5
202,-2601.8521104065007,0.35672588626607493,7.823269757787206,0.050000000000000044,9029,2175,145118,100000,20884.3
203,-2420.6230515943,0.36577460765022995,7.990029680245209,0.050000000000000044,8404,2118,145837,100000,20980.8
204,-2527.878171196791,0.36699877310155044,7.759814783726337,0.050000000000000044,8710,2248,146555,100000,21080.9
205,-2645.554546611102,0.3631267276540012,8.037808017788585,0.050000000000000044,9182,2231,147274,100000,21185.5
206,-2843.727864492019,0.35833425921561524,7.454246013228922,0.050000000000000044,9144,2242,147993,100000,21289.9
207,-2598.6381781625896,0.3608071637318708,8.399144212871917,0.050000000000000044,9189,2292,148712,100000,21394.9
208,-2505.590461080696,0.36176623824454146,8.032710767047352,0.050000000000000044,8524,2131,149431,100000,21492.9
209,-2620.5346987002804,0.3551862819499848,8.055406889982965,0.050000000000000044,9113,2271,150150,100000,21597.2
210,-2590.9018604595553,0.3582737027979746,8.431626234071334,0.050000000000000044,9099,2248,150868,100000,21702.9,-2584.4298359305967,90.09669460493245,0.6056418100728744,5.628283512658056,0.42838577985306864
211,-2621.6046935465897,0.35699228527930266,7.883399832484827,0.050000000000000044,9150,2227,151586,100000,21854.6
212,-2491.4300457567956,0.3575906479371137,7.95636498892756,0.050000000000000044,8608,2162,152301,100000,21953.4
213,-2438.6696850449725,0.35828674877347344,7.938463997976442,0.050000000000000044,8486,2073,153020,100000,22050.6
214,-2582.254998556693,0.36429018336287416,7.825501434228286,0.050000000000000044,8805,2299,153739,100000,22152.2
215,-2725.1322192245384,0.3635966402665844,8.015764583695605,0.050000000000000044,9461,2349,154458,100000,22260.2
216,-2653.752502036118,0.3580555053786315,7.716603358053465,0.050000000000000044,8869,2173,155176,100000,22363.1
217,-2716.1887846882196,0.3639173825772909,8.178741259827317,0.050000000000000044,9412,2324,155894,100000,22471.2
218,-2456.6410162887037,0.36681791360903665,7.982318498630943,0.050000000000000044,8513,2145,156613,100000,22569.4
219,-2560.360979727513,0.36311854780338665,7.94779215342406,0.050000000000000044,8868,2233,157332,100000,22671.3
220,-2595.0070468470594,0.35819462063828217,7.377381305873464,0.050000000000000044,8530,2132,158051,100000,22768.6,-2553.6600976886266,42.85767355920699,0.6111004143860649,5.539240433539257,0.419497479372361
221,-2642.5392293118202,0.3660518055958815,7.947180961278829,0.050000000000000044,9119,2256,158770,100000,22919.6
222,-2421.1077753897794,0.3681410606567847,7.938953076289478,0.050000000000000044,8372,2235,159489,100000,23016.1
223,-2562.169065181492,0.36292911470326633,8.001074977709475,0.050000000000000044,8782,2108,160207,100000,23117.2
224,-2523.361654215366,0.36639411194400356,8.01224370979984,0.050000000000000044,8894,2204,160925,100000,23219.7
225,-2605.051858787558,0.3690360357956206,7.73670513864476,0.050000000000000044,8958,2317,161644,100000,23323.4
226,-2589.9992068865736,0.36571103250368187,7.939208737483573,0.050000000000000044,8899,2217,162363,100000,23425.2
227,-2710.635473443375,0.35836914516408347,7.797954558392445,0.050000000000000044,9296,2304,163082,100000,23532.8
228,-2589.6298818877167,0.3644922035107113,8.079503623574606,0.050000000000000044,8983,2285,163801,100000,23636.1
229,-2579.767380816362,0.36970241470651527,8.191048787580069,0.050000000000000044,9071,2243,164520,100000,23739.9
230,-2487.781063444012,0.36815551842145583,7.865046887071742,0.050000000000000044,8834,2304,165238,100000,23839.8,-2577.9104799260103,53.704030920420216,0.6019762533217253,5.6292625398872005,0.4286581250212221
231,-2428.939125394718,0.3653227909006154,8.009739878008777,0.050000000000000044,8556,2230,165957,100000,23984.4
232,-2566.3058139320265,0.3691252883402438,8.149199647184876,0.050000000000000044,8786,2135,166676,100000,24085.8
233,-2569.100021497032,0.3639606423100362,8.05506340412641,0.050000000000000044,9060,2207,167393,100000,24190.8
234,-2393.0870196390765,0.3566227704375868,8.163121270769466,0.050000000000000044,8344,2193,168110,100000,24287.0
235,-2574.153594079367,0.3615412749741156,7.956458232631195,0.050000000000000044,8954,2177,168828,100000,24390.0
